,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
41,41,1.073227882385254,2023-06-21 03:45:14.247628,2023-06-21 03:46:11.256357,0 days 00:00:57.008729,,0.1,0.004071538353790412,10,74,1e-09,COMPLETE
14,14,1.0732635259628296,2023-06-21 03:25:01.879383,2023-06-21 03:25:21.150731,0 days 00:00:19.271348,0.01,0.2,0.00524494241084114,6,22,1e-06,COMPLETE
79,79,1.0734041929244995,2023-06-21 04:58:44.984242,2023-06-21 05:02:15.116266,0 days 00:03:30.132024,,0.1,0.00019241016853175405,11,56,0.001,COMPLETE
38,38,1.0736057758331299,2023-06-21 03:40:09.617063,2023-06-21 03:40:52.692523,0 days 00:00:43.075460,,0.1,0.0002510461839423976,13,200,1e-09,COMPLETE
64,64,1.0736113786697388,2023-06-21 04:23:12.008294,2023-06-21 04:26:37.391735,0 days 00:03:25.383441,,0.3,0.0017431324623132394,11,43,1e-08,COMPLETE
18,18,1.073624849319458,2023-06-21 03:26:37.447117,2023-06-21 03:27:56.743719,0 days 00:01:19.296602,,0.1,3.471558377120623e-05,14,127,1e-07,COMPLETE
77,77,1.0737433433532715,2023-06-21 04:52:12.954551,2023-06-21 04:56:44.499826,0 days 00:04:31.545275,,0.25,8.750183827071699e-05,10,110,1e-08,COMPLETE
56,56,1.073830246925354,2023-06-21 04:13:14.567633,2023-06-21 04:14:08.897553,0 days 00:00:54.329920,,0.35,0.007994529603800996,6,32,0.001,COMPLETE
5,5,1.0739284753799438,2023-06-21 03:21:39.873195,2023-06-21 03:21:57.257173,0 days 00:00:17.383978,100.0,0.2,0.004379411529164481,8,173,1e-06,COMPLETE
43,43,1.0741993188858032,2023-06-21 03:46:47.680658,2023-06-21 03:48:14.083942,0 days 00:01:26.403284,,0.4,0.0011685351139368702,12,152,1e-09,COMPLETE
34,34,1.074741244316101,2023-06-21 03:37:37.182270,2023-06-21 03:38:38.426746,0 days 00:01:01.244476,,0.35,0.0031623321729016217,11,86,0.0,COMPLETE
58,58,1.0747908353805542,2023-06-21 04:15:17.996072,2023-06-21 04:15:48.149169,0 days 00:00:30.153097,,0.15,0.009711321422482723,8,55,1e-06,COMPLETE
63,63,1.0749698877334595,2023-06-21 04:21:16.124438,2023-06-21 04:23:12.003181,0 days 00:01:55.878743,,0.1,0.00018005999755799204,10,55,0.001,COMPLETE
15,15,1.0750259160995483,2023-06-21 03:25:21.152966,2023-06-21 03:25:37.343141,0 days 00:00:16.190175,0.01,0.2,0.007366319027554353,7,20,1e-09,COMPLETE
11,11,1.0751131772994995,2023-06-21 03:24:01.265779,2023-06-21 03:24:32.717995,0 days 00:00:31.452216,100.0,0.2,0.00011502773791008148,5,174,1e-06,COMPLETE
10,10,1.0755913257598877,2023-06-21 03:23:33.280456,2023-06-21 03:24:01.262540,0 days 00:00:27.982084,100.0,0.2,0.00017028854819780488,5,174,1e-06,COMPLETE
78,78,1.0757983922958374,2023-06-21 04:56:44.501959,2023-06-21 04:58:44.982009,0 days 00:02:00.480050,,0.35,0.004372331694310427,9,123,0.0001,COMPLETE
74,74,1.0763366222381592,2023-06-21 04:43:09.137212,2023-06-21 04:44:31.531774,0 days 00:01:22.394562,,0.1,0.007471942137815005,9,103,1e-06,COMPLETE
17,17,1.0767749547958374,2023-06-21 03:26:01.726698,2023-06-21 03:26:37.445312,0 days 00:00:35.718614,0.01,0.1,0.0009052202344334592,11,21,1e-06,COMPLETE
21,21,1.0771902799606323,2023-06-21 03:28:35.454860,2023-06-21 03:29:50.338249,0 days 00:01:14.883389,,0.1,2.0108560801961656e-05,14,125,1e-07,COMPLETE
47,47,1.0777140855789185,2023-06-21 04:00:35.950258,2023-06-21 04:01:25.316010,0 days 00:00:49.365752,,0.1,0.00633662436934143,13,95,1e-09,COMPLETE
70,70,1.0782719850540161,2023-06-21 04:34:06.427486,2023-06-21 04:38:33.375444,0 days 00:04:26.947958,,0.4,0.00045493318790190695,10,100,1e-07,COMPLETE
12,12,1.0785572528839111,2023-06-21 03:24:32.722619,2023-06-21 03:24:47.518497,0 days 00:00:14.795878,100.0,0.2,0.00010916825548004139,5,182,1e-06,COMPLETE
2,2,1.078973412513733,2023-06-21 03:20:09.797753,2023-06-21 03:20:28.558189,0 days 00:00:18.760436,1.0,0.35,0.0034936603357336973,12,143,0.001,COMPLETE
13,13,1.0804883241653442,2023-06-21 03:24:47.522040,2023-06-21 03:25:01.877175,0 days 00:00:14.355135,,0.2,0.0001541480778505359,20,181,1e-07,COMPLETE
40,40,1.0823588371276855,2023-06-21 03:42:56.100640,2023-06-21 03:45:14.245243,0 days 00:02:18.144603,,0.25,9.887786889486922e-06,15,98,1e-05,COMPLETE
46,46,1.083640217781067,2023-06-21 03:53:56.974529,2023-06-21 04:00:35.945744,0 days 00:06:38.971215,,0.3,2.26791408601431e-06,12,223,1e-06,COMPLETE
19,19,1.0840494632720947,2023-06-21 03:27:56.747642,2023-06-21 03:28:15.115839,0 days 00:00:18.368197,,0.3,0.0005915255654256513,10,48,1e-08,COMPLETE
6,6,1.0867387056350708,2023-06-21 03:21:57.259482,2023-06-21 03:22:22.366493,0 days 00:00:25.107011,10.0,0.35,0.0012884534765865304,15,87,1e-08,COMPLETE
29,29,1.088670015335083,2023-06-21 03:32:40.338383,2023-06-21 03:33:10.910288,0 days 00:00:30.571905,,0.3,0.00033256028158377385,13,37,1e-05,COMPLETE
76,76,1.088891863822937,2023-06-21 04:49:51.248164,2023-06-21 04:52:12.949911,0 days 00:02:21.701747,,0.1,0.0027105049081735605,20,84,0.001,COMPLETE
7,7,1.0972448587417603,2023-06-21 03:22:22.368920,2023-06-21 03:23:12.023864,0 days 00:00:49.654944,100.0,0.25,2.2676316718072634e-06,9,105,1e-05,COMPLETE
3,3,1.0972959995269775,2023-06-21 03:20:28.568266,2023-06-21 03:21:24.125740,0 days 00:00:55.557474,0.1,0.1,4.498927510113926e-06,12,74,0.0,COMPLETE
1,1,1.098501205444336,2023-06-21 03:19:24.881506,2023-06-21 03:20:09.795631,0 days 00:00:44.914125,0.1,0.25,6.34128090202732e-07,8,224,0.0,COMPLETE
22,22,1.0985528230667114,2023-06-21 03:29:50.341345,2023-06-21 03:30:06.382925,0 days 00:00:16.041580,,0.1,0.009902265591676035,18,147,1e-07,COMPLETE
60,60,1.098584771156311,2023-06-21 04:16:29.427729,2023-06-21 04:17:46.451504,0 days 00:01:17.023775,,0.1,4.695757628498784e-07,9,134,0.0001,COMPLETE
20,20,1.0985876321792603,2023-06-21 03:28:15.119741,2023-06-21 03:28:35.452564,0 days 00:00:20.332823,,0.4,2.3529399709656468e-05,14,130,0.0001,COMPLETE
9,9,1.0985909700393677,2023-06-21 03:23:23.310757,2023-06-21 03:23:33.277623,0 days 00:00:09.966866,1.0,0.4,5.548609800515711e-07,8,239,0.001,COMPLETE
4,4,1.0986108779907227,2023-06-21 03:21:24.129771,2023-06-21 03:21:39.870709,0 days 00:00:15.740938,10.0,0.15,7.080942014570645e-06,17,90,0.0001,COMPLETE
8,8,1.0986111164093018,2023-06-21 03:23:12.026240,2023-06-21 03:23:23.306367,0 days 00:00:11.280127,0.1,0.15,1.6008025286998577e-07,9,54,0.001,COMPLETE
0,0,1.0986131429672241,2023-06-21 03:18:58.195475,2023-06-21 03:19:24.877486,0 days 00:00:26.682011,0.1,0.3,3.4704641499762674e-08,16,239,1e-05,COMPLETE
45,45,1.0986160039901733,2023-06-21 03:48:34.992612,2023-06-21 03:53:56.971299,0 days 00:05:21.978687,,0.15,8.766997158889356e-08,9,64,1e-09,COMPLETE
33,33,1.0987263917922974,2023-06-21 03:37:17.026688,2023-06-21 03:37:37.178760,0 days 00:00:20.152072,,0.25,5.8468361708963674e-05,9,34,1e-09,COMPLETE
30,30,1.098987102508545,2023-06-21 03:33:10.914136,2023-06-21 03:35:58.278029,0 days 00:02:47.363893,,0.1,2.0220396086430543e-08,10,76,1e-09,COMPLETE
